date and time,water level (m)
2016-01-04 15:20:00,      -0.291118
2016-01-04 15:40:00,      -0.318407
2016-01-04 16:00:00,      -0.337071
2016-01-04 16:20:00,      -0.346469
2016-01-04 16:40:00,      -0.346319
2016-01-04 17:00:00,      -0.336451
2016-01-04 17:20:00,      -0.317001
2016-01-04 17:40:00,      -0.288403
2016-01-04 18:00:00,      -0.251364
2016-01-04 18:20:00,      -0.206757
2016-01-04 18:40:00,      -0.155844
2016-01-04 19:00:00,     -0.0998795
2016-01-04 19:20:00,     -0.0406937
2016-01-04 19:40:00,      0.0204476
2016-01-04 20:00:00,      0.0816813
2016-01-04 20:20:00,       0.141589
2016-01-04 20:40:00,       0.198374
2016-01-04 21:00:00,       0.250281
2016-01-04 21:20:00,       0.295978
2016-01-04 21:40:00,       0.334044
2016-01-04 22:00:00,       0.363303
2016-01-04 22:20:00,       0.383061
2016-01-04 22:40:00,        0.39253
2016-01-04 23:00:00,       0.391323
2016-01-04 23:20:00,       0.379281
2016-01-04 23:40:00,       0.356881
2016-01-05 00:00:00,       0.324365
2016-01-05 00:20:00,        0.28277
2016-01-05 00:40:00,       0.233045
2016-01-05 01:00:00,        0.17666
2016-01-05 01:20:00,       0.114967
2016-01-05 01:40:00,      0.0496727
2016-01-05 02:00:00,     -0.0172697
2016-01-05 02:20:00,     -0.0839623
2016-01-05 02:40:00,       -0.14871
2016-01-05 03:00:00,      -0.209589
2016-01-05 03:20:00,      -0.264854
2016-01-05 03:40:00,      -0.312974
2016-01-05 04:00:00,      -0.352503
2016-01-05 04:20:00,       -0.38239
2016-01-05 04:40:00,      -0.401451
2016-01-05 05:00:00,        -0.4092
2016-01-05 05:20:00,      -0.405322
2016-01-05 05:40:00,       -0.38982
2016-01-05 06:00:00,      -0.362959
2016-01-05 06:20:00,      -0.325589
2016-01-05 06:40:00,      -0.278561
2016-01-05 07:00:00,      -0.223078
2016-01-05 07:20:00,      -0.160686
2016-01-05 07:40:00,     -0.0929618
2016-01-05 08:00:00,     -0.0218076
2016-01-05 08:20:00,      0.0507027
2016-01-05 08:40:00,       0.122688
2016-01-05 09:00:00,        0.19188
2016-01-05 09:20:00,       0.256631
2016-01-05 09:40:00,       0.314889
2016-01-05 10:00:00,       0.364646
2016-01-05 10:20:00,       0.404687
2016-01-05 10:40:00,       0.434435
2016-01-05 11:00:00,       0.451333
2016-01-05 11:20:00,       0.456688
2016-01-05 11:40:00,        0.44882
2016-01-05 12:00:00,        0.42843
2016-01-05 12:20:00,       0.396224
2016-01-05 12:40:00,       0.352664
2016-01-05 13:00:00,       0.298703
2016-01-05 13:20:00,       0.236231
2016-01-05 13:40:00,       0.166526
2016-01-05 14:00:00,      0.0919404
2016-01-05 14:20:00,      0.0140529
2016-01-05 14:40:00,     -0.0646477
2016-01-05 15:00:00,      -0.141716
2016-01-05 15:20:00,      -0.215365
2016-01-05 15:40:00,      -0.283175
2016-01-05 16:00:00,      -0.343129
2016-01-05 16:20:00,      -0.393419
2016-01-05 16:40:00,      -0.432495
2016-01-05 17:00:00,      -0.459338
2016-01-05 17:20:00,      -0.473038
2016-01-05 17:40:00,      -0.472982
2016-01-05 18:00:00,      -0.459084
2016-01-05 18:20:00,      -0.431553
2016-01-05 18:40:00,      -0.391239
2016-01-05 19:00:00,      -0.338953
2016-01-05 19:20:00,      -0.276572
2016-01-05 19:40:00,      -0.205609
2016-01-05 20:00:00,      -0.127922
2016-01-05 20:20:00,       -0.04573
2016-01-05 20:40:00,      0.0387914
2016-01-05 21:00:00,       0.123149
2016-01-05 21:20:00,       0.205187
2016-01-05 21:40:00,       0.282279
2016-01-05 22:00:00,       0.352438
2016-01-05 22:20:00,       0.413256
2016-01-05 22:40:00,       0.463236
2016-01-05 23:00:00,       0.500871
2016-01-05 23:20:00,       0.524962
2016-01-05 23:40:00,       0.534565
2016-01-06 00:00:00,       0.529381
2016-01-06 00:20:00,       0.509305
2016-01-06 00:40:00,       0.474904
2016-01-06 01:00:00,       0.426935
2016-01-06 01:20:00,       0.366643
2016-01-06 01:40:00,        0.29583
2016-01-06 02:00:00,       0.216279
2016-01-06 02:20:00,       0.130606
2016-01-06 02:40:00,      0.0409079
2016-01-06 03:00:00,     -0.0501246
2016-01-06 03:20:00,      -0.139823
2016-01-06 03:40:00,      -0.225857
2016-01-06 04:00:00,      -0.305474
2016-01-06 04:20:00,      -0.376668
2016-01-06 04:40:00,      -0.437198
2016-01-06 05:00:00,      -0.485263
2016-01-06 05:20:00,      -0.519622
2016-01-06 05:40:00,      -0.538921
2016-01-06 06:00:00,      -0.542594
2016-01-06 06:20:00,      -0.530544
2016-01-06 06:40:00,      -0.502796
2016-01-06 07:00:00,      -0.460206
2016-01-06 07:20:00,      -0.403907
2016-01-06 07:40:00,      -0.335338
2016-01-06 08:00:00,      -0.256411
2016-01-06 08:20:00,      -0.169407
2016-01-06 08:40:00,      -0.076765
